Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
13,W,114,109,14,11,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,1.0,117.1,123.0,7.02,13.36,2.7,3.51
2,W,121,102,15,11,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,7.0,119.5,117.1,8.04,12.52,2.36,5.91
16,L,111,130,16,13,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-1.0,107.5,113.2,8.04,10.99,2.06,3.8
16,W,129,122,16,12,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-1.0,110.3,121.7,8.04,10.99,1.92,3.8
19,L,120,129,17,14,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,1.0,126.9,131.6,8.04,10.67,2.02,3.02
20,L,108,117,17,15,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-3.0,110.6,101.5,8.04,7.9,2.02,4.2
11,L,126,140,17,16,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-2.0,125.6,119.6,6.08,11.13,1.23,6.24
17,W,112,106,17,15,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-1.0,122.6,117.1,6.84,11.63,2.53,3.48
3,W,116,100,18,15,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-2.0,123.2,111.6,6.84,7.74,2.99,2.25
21,W,128,92,19,15,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-1.0,110.6,112.7,6.84,18.03,2.93,1.28
28,W,121,105,20,15,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,2.0,116.2,108.3,6.84,10.62,2.93,4.54
23,W,112,84,21,15,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,2.0,127.9,108.4,6.84,7.39,3.26,4.4
6,L,124,128,22,17,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-4.0,106.0,93.1,6.84,11.38,3.0,4.28
14,W,106,94,22,16,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-2.0,114.1,117.8,4.88,5.05,4.09,6.84
20,L,94,98,23,18,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-2.0,103.6,103.1,4.88,4.7,4.49,6.56
10,W,109,94,23,17,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,1.0,115.2,99.6,6.84,11.29,3.26,3.88
28,W,113,109,24,17,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,4.0,118.8,105.9,6.84,11.41,3.26,3.82
26,W,126,100,25,17,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,1.0,118.3,119.9,6.84,10.38,1.97,4.51
2,W,108,103,26,17,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,2.0,128.9,109.1,5.83,10.56,2.18,9.23
7,W,122,84,27,17,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,3.0,112.5,122.1,5.83,13.84,2.18,6.06
15,W,125,109,28,17,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,1.0,105.4,100.6,6.84,11.65,1.97,3.35
4,W,113,92,29,17,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,1.0,126.0,106.1,6.15,9.63,2.23,2.57
