G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters,Team_Player15_Starters,Team_Player16_Starters,Opponent_Player17_Starters,Opponent_Player18_Starters,Team_Player17_Starters,Team_Player18_Starters,Team_Player19_Starters
56,20220212,MIA,L,111,115,29,27,L 11,BRK,2022,False,99.2,0.516,7.2,17.6,0.161,111.9,99.2,0.561,13.7,23.8,0.28,116.0,Kyrie Irving,Patty Mills,Kessler Edwards,Bruce Brown,Blake Griffin,Cam Thomas,Day'Ron Sharpe,James Johnson,Jevon Carter,David Duke Jr.,Nic Claxton,Team Totals,,,Bam Adebayo,Kyle Lowry,Jimmy Butler,P.J. Tucker,Duncan Robinson,Gabe Vincent,Tyler Herro,Max Strus,Dewayne Dedmon,Kyle Guy,Udonis Haslem,Omer Yurtseven,Team Totals,,,,,,,,,,
61,20220226,MIL,W,126,123,32,29,W 1,BRK,2022,False,102.7,0.549,7.8,23.5,0.272,122.7,102.7,0.628,13.7,12.5,0.321,119.8,Kyrie Irving,James Johnson,Bruce Brown,Andre Drummond,Seth Curry,LaMarcus Aldridge,Patty Mills,Goran Dragić,Cam Thomas,Kessler Edwards,Nic Claxton,David Duke Jr.,Blake Griffin,Day'Ron Sharpe,Jrue Holiday,Giannis Antetokounmpo,Khris Middleton,Bobby Portis,Grayson Allen,Wesley Matthews,Serge Ibaka,DeAndre' Bembry,Jevon Carter,Jordan Nwora,Lindell Wigginton,Thanasis Antetokounmpo,Sandro Mamukelashvili,Team Totals,,,Team Totals,,,,,,
64,20220303,MIA,L,107,113,32,32,L 3,BRK,2022,False,96.0,0.542,12.3,18.9,0.205,111.4,96.0,0.584,14.4,17.9,0.299,117.7,Seth Curry,Kevin Durant,Bruce Brown,Goran Dragić,Andre Drummond,Patty Mills,LaMarcus Aldridge,Cam Thomas,James Johnson,Nic Claxton,David Duke Jr.,Kessler Edwards,Blake Griffin,Day'Ron Sharpe,Max Strus,Bam Adebayo,Gabe Vincent,Duncan Robinson,Omer Yurtseven,Caleb Martin,Tyler Herro,Dewayne Dedmon,Haywood Highsmith,Kyle Guy,Udonis Haslem,Javonte Smart,Team Totals,,,,Team Totals,,,,,,
66,20220308,CHO,W,132,121,33,33,W 1,BRK,2022,False,103.6,0.671,14.4,16.2,0.268,127.4,103.6,0.56,12.9,23.8,0.196,116.8,Kevin Durant,Kyrie Irving,Seth Curry,Bruce Brown,Andre Drummond,Goran Dragić,Patty Mills,Nic Claxton,James Johnson,Kessler Edwards,Cam Thomas,Blake Griffin,Team Totals,,Miles Bridges,Terry Rozier,P.J. Washington,LaMelo Ball,Mason Plumlee,Cody Martin,Kelly Oubre Jr.,Montrezl Harrell,Jalen McDaniels,Nick Richards,Isaiah Thomas,JT Thor,Team Totals,,,,,,,,,,
70,20220316,DAL,L,111,113,36,34,L 1,BRK,2022,False,89.1,0.544,10.1,40.4,0.132,124.6,89.1,0.566,10.7,25.7,0.229,126.9,Kevin Durant,Bruce Brown,Patty Mills,Goran Dragić,Andre Drummond,Nic Claxton,Kessler Edwards,James Johnson,Cam Thomas,Seth Curry,Blake Griffin,Day'Ron Sharpe,Team Totals,,Luka Dončić,Jalen Brunson,Dorian Finney-Smith,Spencer Dinwiddie,Dwight Powell,Maxi Kleber,Josh Green,Dāvis Bertāns,Sterling Brown,Frank Ntilikina,Trey Burke,Boban Marjanović,Team Totals,,,,,,,,,,
73,20220323,MEM,L,120,132,38,35,L 1,BRK,2022,False,101.1,0.546,12.4,25.0,0.287,118.6,101.1,0.559,10.5,35.6,0.188,130.5,Kyrie Irving,Kevin Durant,Bruce Brown,Andre Drummond,Kessler Edwards,Patty Mills,Nic Claxton,Cam Thomas,James Johnson,Seth Curry,Goran Dragić,Blake Griffin,Team Totals,,Tyus Jones,Dillon Brooks,Jaren Jackson Jr.,Desmond Bane,Steven Adams,De'Anthony Melton,Brandon Clarke,Kyle Anderson,John Konchar,Ziaire Williams,Santi Aldama,Jarrett Culver,Xavier Tillman Sr.,Team Totals,,,,,,,,,
74,20220326,MIA,W,110,95,39,35,W 1,BRK,2022,False,100.2,0.536,15.3,25.0,0.253,109.8,100.2,0.507,21.7,17.1,0.253,94.8,Kevin Durant,Kyrie Irving,Bruce Brown,Seth Curry,Andre Drummond,James Johnson,Goran Dragić,Patty Mills,Nic Claxton,Kessler Edwards,Blake Griffin,Cam Thomas,Team Totals,,Kyle Lowry,Jimmy Butler,Bam Adebayo,P.J. Tucker,Duncan Robinson,Tyler Herro,Caleb Martin,Victor Oladipo,Max Strus,Dewayne Dedmon,Omer Yurtseven,Haywood Highsmith,Udonis Haslem,Markieff Morris,Team Totals,,,,,,,,
75,20220327,CHO,L,110,119,39,36,L 1,BRK,2022,False,101.1,0.479,9.2,28.0,0.175,108.8,101.1,0.515,10.0,32.1,0.184,117.7,Kevin Durant,Kyrie Irving,Andre Drummond,Seth Curry,Bruce Brown,Goran Dragić,Nic Claxton,James Johnson,Patty Mills,Kessler Edwards,LaMarcus Aldridge,David Duke Jr.,Blake Griffin,Day'Ron Sharpe,Miles Bridges,LaMelo Ball,Terry Rozier,P.J. Washington,Mason Plumlee,Cody Martin,Kelly Oubre Jr.,Jalen McDaniels,Isaiah Thomas,Montrezl Harrell,Nick Richards,JT Thor,Team Totals,,,,Cam Thomas,Team Totals,,,,,
76,20220329,DET,W,130,123,40,36,W 1,BRK,2022,False,99.8,0.651,17.3,25.8,0.408,130.3,99.8,0.566,11.8,32.7,0.111,123.3,Kyrie Irving,Kevin Durant,Seth Curry,Andre Drummond,Bruce Brown,Goran Dragić,Nic Claxton,Patty Mills,James Johnson,Kessler Edwards,LaMarcus Aldridge,Blake Griffin,Cam Thomas,Team Totals,Saddiq Bey,Cade Cunningham,Isaiah Stewart,Marvin Bagley III,Cory Joseph,Killian Hayes,Braxton Key,Kelly Olynyk,Frank Jackson,Rodney McGruder,Jamorko Pickett,Team Totals,,,,,,,,,,,
77,20220331,MIL,L,119,120,40,37,L 1,BRK,2022,False,102.9,0.557,13.3,9.8,0.113,104.7,102.9,0.517,18.1,23.4,0.315,105.6,Kevin Durant,Kyrie Irving,Seth Curry,Bruce Brown,Andre Drummond,Nic Claxton,Goran Dragić,Patty Mills,James Johnson,Kessler Edwards,LaMarcus Aldridge,Blake Griffin,Cam Thomas,Team Totals,Jrue Holiday,Giannis Antetokounmpo,Wesley Matthews,Khris Middleton,Brook Lopez,Bobby Portis,Grayson Allen,Pat Connaughton,George Hill,Jevon Carter,Thanasis Antetokounmpo,Serge Ibaka,Sandro Mamukelashvili,Jordan Nwora,Team Totals,,,,,,,,
79,20220405,HOU,W,118,105,41,38,W 1,BRK,2022,False,99.9,0.541,14.8,28.6,0.291,118.1,99.9,0.46,9.1,31.0,0.141,105.1,Kyrie Irving,Kevin Durant,Bruce Brown,Patty Mills,Andre Drummond,Nic Claxton,Kessler Edwards,LaMarcus Aldridge,Cam Thomas,Seth Curry,Blake Griffin,Team Totals,,,Kevin Porter Jr.,Jalen Green,Alperen Sengun,Jae'Sean Tate,Garrison Mathews,Josh Christopher,KJ Martin,Usman Garuba,Daishen Nix,Bruno Fernando,David Nwaba,Team Totals,,,,,,,,,,,
81,20220408,CLE,W,118,107,43,38,W 3,BRK,2022,False,90.6,0.533,9.8,38.2,0.217,130.2,90.6,0.537,8.9,23.8,0.232,118.1,Kevin Durant,Bruce Brown,Kyrie Irving,Seth Curry,Andre Drummond,Kessler Edwards,Patty Mills,Nic Claxton,David Duke Jr.,Cam Thomas,LaMarcus Aldridge,Blake Griffin,Day'Ron Sharpe,Team Totals,Darius Garland,Evan Mobley,Caris LeVert,Isaac Okoro,Lauri Markkanen,Cedi Osman,Kevin Love,Lamar Stevens,Rajon Rondo,Moses Brown,Ed Davis,Brandon Goodwin,Dylan Windler,Team Totals,,,,,,,,,
82,20220410,IND,W,134,126,44,38,W 4,BRK,2022,False,104.4,0.691,18.6,29.6,0.272,128.4,104.4,0.543,5.9,20.8,0.125,120.7,Kevin Durant,Kyrie Irving,Kessler Edwards,Bruce Brown,Andre Drummond,Patty Mills,Nic Claxton,Cam Thomas,LaMarcus Aldridge,Seth Curry,David Duke Jr.,Blake Griffin,Day'Ron Sharpe,Team Totals,Tyrese Haliburton,Buddy Hield,Oshae Brissett,Isaiah Jackson,T.J. McConnell,Terry Taylor,Duane Washington Jr.,Lance Stephenson,Gabe York,Goga Bitadze,Malcolm Brogdon,Jalen Smith,Team Totals,,,,,,,,,,
83,20220412,CLE,W,115,108,45,38,W 5,BRK,2022,False,99.7,0.589,12.9,25.0,0.19,115.3,99.7,0.495,13.0,23.3,0.185,108.3,Kyrie Irving,Kevin Durant,Bruce Brown,Seth Curry,Andre Drummond,Nic Claxton,Patty Mills,Goran Dragić,Kessler Edwards,LaMarcus Aldridge,Blake Griffin,Day'Ron Sharpe,Cam Thomas,Team Totals,Caris LeVert,Darius Garland,Evan Mobley,Lauri Markkanen,Isaac Okoro,Kevin Love,Rajon Rondo,Cedi Osman,Lamar Stevens,Moses Brown,Ed Davis,Dylan Windler,Team Totals,,,,,,,,,,
1,20211020,IND,W,123,122,1,0,W 1,CHO,2022,False,109.2,0.491,6.3,21.8,0.168,112.6,109.2,0.561,14.5,19.0,0.233,111.7,Gordon Hayward,Kelly Oubre Jr.,Miles Bridges,Mason Plumlee,LaMelo Ball,Cody Martin,Ish Smith,P.J. Washington,Jalen McDaniels,James Bouknight,Vernon Carey Jr.,Kai Jones,Arnoldas Kulboka,Nick Richards,Malcolm Brogdon,Domantas Sabonis,Chris Duarte,Myles Turner,Justin Holiday,Torrey Craig,Jeremy Lamb,T.J. McConnell,Goga Bitadze,Oshae Brissett,Isaiah Jackson,Brad Wanamaker,Duane Washington Jr.,Team Totals,,,JT Thor,Team Totals,,,,,
2,20211022,CLE,W,123,112,2,0,W 2,CHO,2022,False,103.4,0.599,15.5,27.5,0.154,118.9,103.4,0.565,17.0,16.7,0.202,108.3,Miles Bridges,Gordon Hayward,LaMelo Ball,Terry Rozier,Mason Plumlee,Kelly Oubre Jr.,P.J. Washington,Cody Martin,Ish Smith,James Bouknight,Kai Jones,Jalen McDaniels,Nick Richards,JT Thor,Collin Sexton,Lauri Markkanen,Evan Mobley,Ricky Rubio,Jarrett Allen,Isaac Okoro,Kevin Love,Cedi Osman,Kevin Pangos,Dean Wade,RJ Nembhard Jr.,Tacko Fall,Lamar Stevens,Denzel Valentine,Ed Davis,Team Totals,Vernon Carey Jr.,Team Totals,,,,,
6,20211029,MIA,L,99,114,4,2,L 1,CHO,2022,False,97.5,0.461,9.9,20.0,0.178,101.5,97.5,0.522,15.3,38.1,0.209,116.9,Miles Bridges,Gordon Hayward,Kelly Oubre Jr.,LaMelo Ball,Mason Plumlee,Cody Martin,P.J. Washington,Ish Smith,Jalen McDaniels,James Bouknight,Kai Jones,Nick Richards,Terry Rozier,Team Totals,Jimmy Butler,Kyle Lowry,Bam Adebayo,Duncan Robinson,P.J. Tucker,Tyler Herro,Max Strus,Markieff Morris,Dewayne Dedmon,Udonis Haslem,KZ Okpala,Gabe Vincent,Omer Yurtseven,Team Totals,,,,,,,,,
8,20211101,CLE,L,110,113,5,3,L 1,CHO,2022,False,99.7,0.49,13.6,38.5,0.109,110.4,99.7,0.483,13.0,39.5,0.289,113.4,Miles Bridges,LaMelo Ball,Terry Rozier,Gordon Hayward,Mason Plumlee,Cody Martin,Kelly Oubre Jr.,P.J. Washington,Ish Smith,Nick Richards,James Bouknight,Vernon Carey Jr.,Kai Jones,Jalen McDaniels,Evan Mobley,Collin Sexton,Darius Garland,Lauri Markkanen,Jarrett Allen,Ricky Rubio,Cedi Osman,Dean Wade,Ed Davis,Lamar Stevens,Denzel Valentine,Dylan Windler,Team Totals,,,,JT Thor,Team Totals,,,,,
9,20211103,GSW,L,92,114,5,4,L 2,CHO,2022,False,103.9,0.429,13.9,16.4,0.154,88.5,103.9,0.593,15.3,14.9,0.14,109.7,Miles Bridges,Gordon Hayward,Terry Rozier,LaMelo Ball,Mason Plumlee,Cody Martin,P.J. Washington,Ish Smith,Kelly Oubre Jr.,Jalen McDaniels,James Bouknight,Nick Richards,Kai Jones,Team Totals,Stephen Curry,Draymond Green,Jordan Poole,Andrew Wiggins,Kevon Looney,Gary Payton II,Andre Iguodala,Damion Lee,Juan Toscano-Anderson,Nemanja Bjelica,Otto Porter Jr.,Jeff Dowtin,Jonathan Kuminga,Moses Moody,Team Totals,,,,,,,,
11,20211107,LAC,L,106,120,5,6,L 4,CHO,2022,False,106.5,0.455,10.7,21.8,0.139,99.6,106.5,0.581,17.4,17.9,0.233,112.7,Miles Bridges,Gordon Hayward,Terry Rozier,LaMelo Ball,Mason Plumlee,Cody Martin,Kelly Oubre Jr.,Nick Richards,Ish Smith,James Bouknight,Kai Jones,Jalen McDaniels,Team Totals,,Paul George,Reggie Jackson,Nicolas Batum,Ivica Zubac,Eric Bledsoe,Terance Mann,Luke Kennard,Isaiah Hartenstein,Serge Ibaka,Justise Winslow,Brandon Boston Jr.,Keon Johnson,Team Totals,,,,,,,,,,
12,20211108,LAL,L,123,126,5,7,L 5,CHO,2022,False,102.0,0.505,13.9,24.6,0.232,109.2,102.0,0.555,12.4,16.3,0.275,111.9,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,Mason Plumlee,Cody Martin,Kelly Oubre Jr.,Nick Richards,Jalen McDaniels,James Bouknight,Kai Jones,Ish Smith,Team Totals,,Anthony Davis,Russell Westbrook,Avery Bradley,Kent Bazemore,DeAndre Jordan,Carmelo Anthony,Austin Reaves,Wayne Ellington,Malik Monk,Dwight Howard,Rajon Rondo,Sekou Doumbouya,Team Totals,,,,,,,,,,
13,20211110,MEM,W,118,108,6,7,W 1,CHO,2022,False,106.6,0.539,14.5,19.6,0.233,110.7,106.6,0.463,12.3,33.3,0.084,101.3,Gordon Hayward,LaMelo Ball,Miles Bridges,Mason Plumlee,Terry Rozier,Kelly Oubre Jr.,Jalen McDaniels,Cody Martin,Nick Richards,James Bouknight,Kai Jones,Ish Smith,Team Totals,,Ja Morant,De'Anthony Melton,Jaren Jackson Jr.,Steven Adams,Desmond Bane,Dillon Brooks,Kyle Anderson,John Konchar,Brandon Clarke,Tyus Jones,Santi Aldama,Jarrett Culver,Sam Merrill,Xavier Tillman Sr.,Ziaire Williams,Team Totals,,,,,,,
15,20211114,GSW,W,106,102,8,7,W 3,CHO,2022,False,101.4,0.557,12.2,9.5,0.091,104.5,101.4,0.472,12.9,23.9,0.189,100.6,Miles Bridges,LaMelo Ball,Terry Rozier,Gordon Hayward,Mason Plumlee,Cody Martin,Jalen McDaniels,Kelly Oubre Jr.,Ish Smith,James Bouknight,Vernon Carey Jr.,Kai Jones,Nick Richards,Team Totals,Stephen Curry,Draymond Green,Andrew Wiggins,Jordan Poole,Kevon Looney,Andre Iguodala,Otto Porter Jr.,Gary Payton II,Damion Lee,Nemanja Bjelica,Jonathan Kuminga,Moses Moody,Juan Toscano-Anderson,Team Totals,,,,,,,,,
17,20211119,IND,W,121,118,10,7,W 5,CHO,2022,False,102.4,0.617,15.4,16.7,0.259,118.1,102.4,0.528,8.9,17.0,0.284,115.2,LaMelo Ball,Miles Bridges,Gordon Hayward,Mason Plumlee,Terry Rozier,Kelly Oubre Jr.,Cody Martin,Jalen McDaniels,Ish Smith,Nick Richards,Vernon Carey Jr.,Team Totals,,,Malcolm Brogdon,Domantas Sabonis,Myles Turner,Caris LeVert,Chris Duarte,Torrey Craig,T.J. McConnell,Goga Bitadze,Brad Wanamaker,Kelan Martin,Jeremy Lamb,Justin Holiday,Oshae Brissett,Team Totals,,,,,,,,,
21,20211126,MIN,W,133,115,13,8,W 3,CHO,2022,False,102.4,0.688,14.5,18.9,0.136,129.9,102.4,0.505,10.0,28.8,0.14,112.3,LaMelo Ball,Terry Rozier,Gordon Hayward,Miles Bridges,P.J. Washington,Cody Martin,Kelly Oubre Jr.,Jalen McDaniels,Nick Richards,Ish Smith,James Bouknight,Kai Jones,Team Totals,,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Jarred Vanderbilt,Jaden McDaniels,Malik Beasley,Taurean Prince,Jordan McLaughlin,Naz Reid,Josh Okogie,Jaylen Nowell,Jake Layman,Leandro Bolmaro,Nathan Knight,Team Totals,,,,,,,,
22,20211127,HOU,L,143,146,13,9,L 1,CHO,2022,False,97.0,0.563,8.6,34.0,0.262,133.6,97.0,0.658,12.1,30.3,0.221,136.4,Terry Rozier,LaMelo Ball,Gordon Hayward,P.J. Washington,Miles Bridges,Kelly Oubre Jr.,Jalen McDaniels,Cody Martin,Nick Richards,James Bouknight,Kai Jones,Ish Smith,Team Totals,,Kevin Porter Jr.,Christian Wood,Garrison Mathews,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Danuel House Jr.,KJ Martin,Alperen Sengun,D.J. Augustin,David Nwaba,Daniel Theis,Team Totals,,,,,,,,,,
23,20211129,CHI,L,119,133,13,10,L 2,CHO,2022,False,100.7,0.58,8.5,12.2,0.193,118.2,100.7,0.674,10.2,14.7,0.146,132.1,Gordon Hayward,Terry Rozier,Miles Bridges,LaMelo Ball,Nick Richards,Kelly Oubre Jr.,P.J. Washington,Jalen McDaniels,James Bouknight,Kai Jones,Cody Martin,Ish Smith,Team Totals,,Javonte Green,Nikola Vučević,Zach LaVine,DeMar DeRozan,Lonzo Ball,Alex Caruso,Coby White,Derrick Jones Jr.,Ayo Dosunmu,Tony Bradley,Troy Brown Jr.,Alize Johnson,Matt Thomas,Team Totals,,,,,,,,,
24,20211201,MIL,L,125,127,13,11,L 3,CHO,2022,False,107.6,0.615,15.0,7.7,0.207,116.2,107.6,0.564,11.0,21.4,0.223,118.0,LaMelo Ball,Terry Rozier,P.J. Washington,Miles Bridges,Gordon Hayward,Kelly Oubre Jr.,Jalen McDaniels,Ish Smith,Nick Richards,Cody Martin,JT Thor,Team Totals,,,Jrue Holiday,Giannis Antetokounmpo,Khris Middleton,Grayson Allen,Bobby Portis,George Hill,Pat Connaughton,DeMarcus Cousins,Rodney Hood,Thanasis Antetokounmpo,Georgios Kalaitzakis,Sandro Mamukelashvili,Jordan Nwora,Javonte Smart,Team Totals,,,,,,,,
29,20211213,DAL,L,96,120,15,14,L 1,CHO,2022,False,86.1,0.471,9.4,33.3,0.174,111.5,86.1,0.633,12.6,41.2,0.181,139.3,Terry Rozier,Gordon Hayward,Cody Martin,Miles Bridges,Nick Richards,Kelly Oubre Jr.,P.J. Washington,James Bouknight,JT Thor,Kai Jones,Scottie Lewis,Vernon Carey Jr.,Team Totals,,Reggie Bullock,Dorian Finney-Smith,Kristaps Porziņģis,Jalen Brunson,Dwight Powell,Maxi Kleber,Tim Hardaway Jr.,Trey Burke,Josh Green,Moses Brown,Boban Marjanović,Frank Ntilikina,Team Totals,,,,,,,,,,
34,20211223,DEN,W,115,107,17,17,W 1,CHO,2022,False,103.7,0.5,9.5,21.4,0.223,110.9,103.7,0.49,12.7,20.8,0.135,103.2,Terry Rozier,Gordon Hayward,Miles Bridges,LaMelo Ball,Mason Plumlee,Kelly Oubre Jr.,Jalen McDaniels,P.J. Washington,Ish Smith,Nick Richards,James Bouknight,Team Totals,,,Nikola Jokić,Will Barton,Monte Morris,Jeff Green,Vlatko Čančar,Facundo Campazzo,Austin Rivers,Zeke Nnaji,Bones Hyland,JaMychal Green,Petr Cornelie,Davon Reed,Team Totals,,,,,,,,,,
35,20211227,HOU,W,123,99,18,17,W 2,CHO,2022,False,100.5,0.636,14.5,18.4,0.125,122.4,100.5,0.5,18.1,28.9,0.138,98.5,Mason Plumlee,Gordon Hayward,Terry Rozier,Jalen McDaniels,LaMelo Ball,Kelly Oubre Jr.,Ish Smith,Cody Martin,Nick Richards,James Bouknight,JT Thor,Kai Jones,Vernon Carey Jr.,Arnoldas Kulboka,Armoni Brooks,Christian Wood,David Nwaba,Eric Gordon,Josh Christopher,Trevelin Queen,Daishen Nix,Daniel Theis,Alperen Sengun,Usman Garuba,Jalen Green,Kevin Porter Jr.,Team Totals,,,,Team Totals,,,,,,
36,20211229,IND,W,116,108,19,17,W 3,CHO,2022,False,104.3,0.571,12.4,18.6,0.224,111.3,104.3,0.517,15.4,20.0,0.221,103.6,Terry Rozier,Gordon Hayward,LaMelo Ball,Mason Plumlee,Jalen McDaniels,Cody Martin,Kelly Oubre Jr.,Nick Richards,Ish Smith,James Bouknight,Vernon Carey Jr.,Kai Jones,Arnoldas Kulboka,JT Thor,Caris LeVert,Domantas Sabonis,Justin Holiday,Myles Turner,Chris Duarte,Torrey Craig,Oshae Brissett,Kelan Martin,Keifer Sykes,Goga Bitadze,Isaiah Jackson,Terry Taylor,Duane Washington Jr.,Team Totals,,,Team Totals,,,,,,
39,20220105,DET,W,140,111,20,19,W 1,CHO,2022,False,102.5,0.741,15.3,22.9,0.247,136.5,102.5,0.543,11.4,18.0,0.12,108.2,LaMelo Ball,Terry Rozier,Gordon Hayward,Miles Bridges,Mason Plumlee,P.J. Washington,Kelly Oubre Jr.,Jalen McDaniels,Cody Martin,Ish Smith,Nick Richards,James Bouknight,Kai Jones,JT Thor,Saddiq Bey,Cade Cunningham,Killian Hayes,Trey Lyles,Hamidou Diallo,Justin Robinson,Josh Jackson,Rodney McGruder,Saben Lee,Micah Potter,Luka Garza,Team Totals,,,,,Arnoldas Kulboka,Team Totals,,,,,
40,20220108,MIL,W,114,106,21,19,W 2,CHO,2022,False,100.5,0.525,9.4,25.0,0.101,113.4,100.5,0.456,12.9,28.0,0.267,105.5,Miles Bridges,Terry Rozier,Gordon Hayward,LaMelo Ball,Mason Plumlee,Kelly Oubre Jr.,Cody Martin,P.J. Washington,Jalen McDaniels,James Bouknight,Kai Jones,Nick Richards,Ish Smith,JT Thor,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Rodney Hood,Langston Galloway,Semi Ojeleye,Sandro Mamukelashvili,Thanasis Antetokounmpo,Jeff Dowtin,Luke Kornet,Javonte Smart,Team Totals,,,Team Totals,,,,,,
41,20220110,MIL,W,103,99,22,19,W 3,CHO,2022,False,101.7,0.464,12.0,24.1,0.146,101.2,101.7,0.518,18.0,16.7,0.143,97.3,Miles Bridges,Terry Rozier,Gordon Hayward,LaMelo Ball,Mason Plumlee,Cody Martin,P.J. Washington,Jalen McDaniels,James Bouknight,Kai Jones,Arnoldas Kulboka,Scottie Lewis,Nick Richards,Ish Smith,Khris Middleton,Giannis Antetokounmpo,Bobby Portis,Wesley Matthews,Jordan Nwora,Pat Connaughton,Donte DiVincenzo,Rodney Hood,Langston Galloway,Sandro Mamukelashvili,Thanasis Antetokounmpo,Luke Kornet,Semi Ojeleye,Javonte Smart,Team Totals,,JT Thor,Team Totals,,,,,
